Id,OriginLatitude,OriginLongitude,DestinationLatitude,DestinationLongitude,Miles,NumStops,Price,HazMat,Pickup
22166186,30.0,-95.0,30.0,-95.0,1.0,2,210.0,0,2021-02-02 17:45:00
22166187,30.0,-94.0,30.0,-94.0,1.0,2,240.0,0,2021-02-03 17:45:00
22166192,30.0,-94.0,30.0,-94.0,1.0,2,248.0,0,2021-02-08 17:45:00
22166193,30.0,-95.0,30.0,-95.0,1.0,2,224.0,0,2021-02-18 17:45:00
22166194,30.0,-95.0,30.0,-95.0,1.0,2,290.0,0,2021-02-09 17:45:00
22166195,30.0,-94.0,30.0,-94.0,1.0,2,202.0,0,2021-02-10 17:45:00
22166197,30.0,-94.0,30.0,-94.0,1.0,2,282.0,0,2021-02-12 17:45:00
22166239,33.44,-96.05,33.06,-96.05,29.0,2,550.0,0,2021-02-02 17:00:00
22167239,40.6,-86.0,41.57,-85.96,110.0,2,600.0,0,2021-02-01 01:30:00
22168680,40.44,-84.36,42.76,-87.69,221.0,2,740.0,0,2021-02-04 07:30:00
22168945,42.76,-87.28,40.32,-82.23,303.0,2,1403.0,0,2021-02-11 07:45:00
22169167,33.01,-96.52,33.09,-96.54,51.0,2,458.0,0,2021-02-03 07:00:00
22169291,41.02,-87.54,41.07,-81.29,366.0,2,1750.0,0,2021-02-03 08:00:00
22169292,41.96,-87.07,41.81,-81.48,368.0,2,1700.0,0,2021-01-31 08:00:00
22169381,33.52,-96.61,30.69,-95.48,281.0,2,525.0,0,2021-02-02 08:15:00
22171042,39.74,-88.08,33.28,-96.52,759.0,2,2000.0,0,2021-02-01 09:30:00
22171518,40.69,-85.02,39.57,-84.51,131.0,2,1050.0,0,2021-02-04 09:00:00
22172465,30.51,-94.07,41.24,-81.08,1309.0,2,2500.0,0,2021-02-05 11:45:00
22172546,41.09,-81.02,39.17,-85.21,310.0,2,1150.0,0,2021-02-04 10:00:00
22172649,40.57,-88.43,40.96,-82.22,352.0,2,1600.0,0,2021-02-01 10:00:00
22173095,39.44,-83.01,40.61,-83.47,38.0,2,250.0,0,2021-02-01 11:15:00
22173199,32.69,-94.42,40.21,-82.06,998.0,2,2100.0,0,2021-02-02 11:30:00
22173542,38.9,-87.65,40.84,-80.82,454.0,2,1750.0,0,2021-02-02 11:30:00
22173557,39.52,-83.75,41.63,-84.9,117.0,2,1474.0,0,2021-02-10 11:30:00
22173558,39.86,-83.88,41.86,-84.62,121.0,2,1258.0,0,2021-02-11 11:30:00
22173560,39.18,-83.25,41.69,-84.35,115.0,2,684.0,0,2021-02-02 11:30:00
22173801,43.0,-87.0,43.0,-87.0,2.0,2,450.0,0,2021-02-12 11:45:00
22173991,41.0,-85.0,41.0,-85.0,10.0,2,450.0,0,2021-02-04 11:00:00
22173992,40.42,-85.96,33.37,-96.35,856.0,2,2600.0,0,2021-02-09 11:00:00
